Column1,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
43,Demar DeRozan,2009,9,77.5,78.5,81,102.5,38.5,141,29,131.5,211,4.9,,,5,11.88,3.31
44,Dionte Christmas,2009,,76.25,77.5,81,102.5,33.5,136,27,129.5,211,7.1,,,3,10.83,3.21
45,Jeff Adrien,2009,,77.25,78.5,86,107.5,31.5,139,27.5,135,236,7.9,,,16,11.34,3.32
46,Jerel McNeal,2009,,73.5,75,79.25,99.5,36.5,136,31.5,131,190,5.4,,,10,10.61,3.25
47,Joe Ingles,2009,,79.75,80.25,82.25,105,31,136,26,131,209,10.1,,,3,10.66,3.3
48,Josh Heytvelt,2009,,82,83,85.25,108,34,142,28.5,136.5,246,10.8,,,15,11.67,3.38
49,Tyler Smith,2009,,77.25,78,81.75,104.5,33.5,138,29,133.5,212,7,,,10,10.69,3.24
50,John Wall,2010,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,,10.84,3.14
51,Paul George,2010,10,79.75,80.75,83.25,107,,,,,214,5,8.5,9,4,,
52,Cole Aldrich,2010,11,81,83.25,88.75,111.5,28,139.5,23,134.5,236,8.5,9,9.25,10,11.48,3.35
53,Xavier Henry,2010,12,77.25,78.5,83.25,105,36.5,141.5,28.5,133.5,210,4.7,8.75,10,8,11.1,3.18
54,Ed Davis,2010,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,,11.7,3.21
55,Patrick Patterson,2010,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,17,11.14,3.25
56,Larry Sanders,2010,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,7,12.49,3.27
57,Luke Babbitt,2010,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,15,10.98,3.4
58,Eric Bledsoe,2010,18,72.25,73.5,79.5,98,,,,,192,5.6,8.5,9.75,9,,
59,Avery Bradley,2010,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,2,11.47,3.14
60,Evan Turner,2010,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,9,11.06,3.27
61,James Anderson,2010,20,76.75,77.75,80.5,104,35.5,139.5,30,134,208,7.9,9,7,14,11.86,3.19
62,Craig Brackins,2010,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,6,11.65,3.39
63,Trevor Booker,2010,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,22,11.15,3.1
64,Dominique Jones,2010,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,19,10.88,3.31
65,Jordan Crawford,2010,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,7,11.03,3.37
66,Daniel Orton,2010,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,13,12.32,3.39
67,Derrick Favors,2010,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,14,11.74,3.25
68,Lazar Hayward,2010,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,15,10.87,3.31
69,Dexter Pittman,2010,32,81.5,83.5,90,111,,,,,303,20.8,10.25,10.5,,,
70,Hassan Whiteside,2010,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,12,11.83,3.54
71,Armon Johnson,2010,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,18,11.25,3.19
72,Terrico White,2010,36,75.75,77,81,101,40,141,31,132,203,3.7,9,10.5,10,11.38,3.15
73,Darington Hobson,2010,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,,11.68,3.25
74,Andy Rautins,2010,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,8,11.27,3.49
75,Wesley Johnson,2010,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,16,11.43,3.14
76,Lance Stephenson,2010,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,10,11.39,3.38
77,Jarvis Varnado,2010,41,80.25,82,87.5,109.5,32.5,142,29.5,139,210,9.5,9.25,9.5,3,11.61,3.37
78,Devin Ebanks,2010,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,6,11.69,3.44
79,Jerome Jordan,2010,44,83.5,84.75,89.25,113,,,,,244,6.9,9,10.25,,,
80,Tiny Gallon,2010,47,80.5,81.5,88.5,109.5,28.5,138,23.5,133,302,15.1,9.25,10.5,14,13.44,3.7
81,Ryan Richards,2010,49,82.5,83.75,85.5,110,28.5,138.5,25,135,230,8,9,9.75,4,11.33,3.37
82,DeMarcus Cousins,2010,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,,11.4,3.55
83,Solomon Alabi,2010,50,83.5,84.75,89,113,26,139,22.5,135.5,237,5,9.25,9.25,10,13.2,3.68
84,Willie Warren,2010,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,10,11.21,3.5
85,Derrick Caracter,2010,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,22,12.78,3.61
86,Stanley Robinson,2010,59,78.5,79.75,84,107.5,37.5,145,,,213,8.3,9,9,6,11.65,3.23
87,Ekpe Udoh,2010,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,10,11.15,3.29
88,Greg Monroe,2010,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,15,12.1,3.35
89,Al-Farouq Aminu,2010,8,79.25,80.5,87.25,108.5,33.5,142,27,135.5,216,8.2,9.5,9.5,13,11.29,3.3
90,Gordon Hayward,2010,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,10,11.73,3.22
91,Artsiom Parakhouski,2010,,82.25,83.75,85,109.5,26.5,136,25.5,135,268,6,9,10.5,16,12.07,3.33
92,Charles Garcia,2010,,80.25,81.25,85.75,107.5,30.5,138,24.5,132,232,7,8.75,9,2,11.65,3.23
93,Jon Scheyer,2010,,76.75,78,75.25,99,,,,,180,5.4,7.75,9.5,,,
94,Manny Harris,2010,,76,77.5,79.25,102,,,,,185,3.8,8.5,9,11,,
95,Mikhail Torrance,2010,,76,,78.75,101.75,32,133.75,23,124.75,207,,8.75,9.5,8,11.43,3.17
96,Sherron Collins,2010,,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,,12.31,3.24
97,Sylven Landesberg,2010,,76.75,78.25,81,100.5,32,132.5,28,128.5,210,11.6,8.75,10.75,8,11.59,3.36
98,Jimmer Fredette,2011,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,14,10.42,3.21
99,Klay Thompson,2011,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24
100,Alec Burks,2011,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,5,10.96,3.17
101,Markieff Morris,2011,13,79.75,81.25,82.75,106.5,31.5,138,27,133.5,241,10.2,8.5,8.25,11,,3.4
102,Marcus Morris,2011,14,79,80.75,82,105.5,33,138.5,29,134.5,230,8,8.25,8.5,11,,3.15
103,Kawhi Leonard,2011,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,3,11.45,3.15
104,Nikola Vucevic,2011,16,82.25,83.75,88.5,112.5,25,137.5,23.5,136,260,6.1,9.25,10.25,8,12.02,3.27
105,Iman Shumpert,2011,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,18,11.1,3.18
106,Chris Singleton,2011,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,15,11.33,3.09
107,Tobias Harris,2011,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,12,10.96,3.17
108,Derrick Williams,2011,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23
109,Nolan Smith,2011,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,9,11.05,3.17
110,Kenneth Faried,2011,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,16,11.35,3.26
111,Marshon Brooks,2011,25,76.25,77.25,85,101,38.5,139.5,34,135,195,5.2,9,10.5,5,10.74,3.09
112,Jordan Hamilton,2011,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,7,11.47,3.3
113,JaJuan Johnson (Purdue),2011,27,81,82,86,107.5,38,145.5,33.5,141,220,7.5,9,10,15,11.21,3.14
114,Norris Cole,2011,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,11,10.07,3.22
115,Cory Joseph,2011,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,5,10.75,3.27
116,Enes Kanter,2011,3,81.75,83.25,85.5,109.5,32.5,142,26,135.5,259,5.9,9.5,10.75,14,11.3,3.26
117,Jimmy Butler,2011,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,14,11.92,3.15
118,Justin Harper,2011,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,19,11.92,3.3
119,Kyle Singler,2011,33,79.5,80.5,82.1,106,30,136,23,129,228,10,8.25,8.75,10,11.22,3.21
120,Shelvin Mack,2011,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,17,11.23,3.18
121,Tyler Honeycutt,2011,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,,11.68,3.07
122,Jordan Williams,2011,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45
123,Trey Thompkins,2011,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41
124,Chandler Parsons,2011,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,4,11.05,3.29
125,Jeremy Tyler,2011,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29
126,Tristan Thompson,2011,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26
127,Jon Leuer,2011,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,17,10.82,3.36
128,Darius Morris,2011,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,12,11,3.2
129,Malcolm Lee,2011,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,17,11.2,3.09
130,Charles Jenkins,2011,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,16,11.68,3.18
131,Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,4,10.33,3.1
132,Travis Leslie,2011,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,10,11,3.13
133,Keith Benson,2011,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,12,11.88,3.35
134,Josh Selby,2011,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,5,11.13,3.2
135,Jon Diebler,2011,51,77.25,78.5,78,99,35,134,28,127,197,8.5,8.25,8.25,2,10.94,3.37
136,DeAndre Liggins,2011,53,77,78.25,83,103.5,31,134.5,27,130.5,202,5,8.75,10,6,,3.33
137,E'Twaun Moore,2011,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,,11.12,3.31
138,Isaiah Thomas,2011,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,13,10.49,3.14
139,Brandon Knight,2011,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10,10.74,3.07
140,Kemba Walker,2011,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16
141,David Lighty,2011,,76.75,78.5,80,101,33,134,28.5,129.5,216,6.5,9,10,15,10.81,3.25
142,Demetri McCamey,2011,,73.75,75.25,78.25,99.5,33,132.5,27,126.5,204,6.1,8.5,9,,11.55,3.19
143,Greg Smith,2011,,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,17,12.43,3.36
144,Jamie Skeen,2011,,78.5,80,85.25,106.5,30.5,137,26,132.5,242,9.8,8.5,8.5,10,12.43,3.46
145,Jereme Richmond,2011,,78,79.25,82.25,106.5,33.5,140,27,133.5,207,5.5,8.75,9.5,,11.74,3.02
146,LaceDarius Dunn,2011,,75,76,78.25,101,31,132,26.5,127.5,188,5.5,9,10.25,3,11.45,3.27
147,Malcolm Thomas,2011,,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,5,11.31,3.29
148,Michael Dunigan,2011,,80.5,82,87.25,107.5,34.5,142,29.5,137,238,8,9,10.75,10,11.85,3.27
149,Rick Jackson,2011,,80.25,81.25,86,106.5,33,139.5,28.5,135,242,8.3,8.75,9.5,9,11.51,3.26
150,Scotty Hopson,2011,,77.75,78.5,82.5,103.5,36,139.5,32.5,136,205,4.8,8.5,10,10,10.47,3.18
457,Zach Collins,2017,10,82.25,84,85,111,,,,,232,8.9,8.75,9.25,,,
458,Luke Kennard,2017,12,76.5,77.5,77.25,98.5,,,,,196,6.6,8,8.75,,,
459,Donovan Mitchell,2017,13,73.25,75,82,97,40.5,137.5,36.5,133.5,211,5.9,8.5,9.5,,11.53,3.01
460,Bam Adebayo,2017,14,80.75,81.75,86.75,108,38.5,146.5,33.5,141.5,243,5.2,9.5,8.75,,11.94,3.24
461,Justin Patton,2017,16,82,83.25,87,111.5,30.5,142,26,137.5,229,7.8,8.75,9.75,,11.8,3.46
462,D.J. Wilson,2017,17,80.75,82.5,87,109.5,,,,,234,6.4,9.25,10.25,,,
463,T.J. Leaf,2017,18,80.75,81.75,83,107,34.5,141.5,29,136,222,6.8,8.5,9.5,,11.55,3.27
464,John Collins,2017,19,80.25,81.5,83.25,106.5,37.5,144,33,139.5,225,5.4,9,10,,11.66,3.27
465,Harry Giles,2017,20,81.25,82.5,87.25,109.5,32.5,142,27,136.5,232,5.2,9.5,10.75,,11.08,3.34
466,Terrance Ferguson,2017,21,77.5,79,80.75,103,38,141,28.5,131.5,184,5.8,8.5,10,,11.16,3.32
467,Jarrett Allen,2017,22,81,82.25,89.25,109.5,35.5,145,31.5,141,234,7.4,9.5,10.5,,11.82,3.21
468,OG Anunoby,2017,23,78.25,79.75,86.25,107.5,,,,,232,6.8,9.25,9.5,,,
469,Tyler Lydon,2017,24,80.25,81.5,84,107.5,33.5,141,29.5,137,215,13.6,8.75,8.75,,11.68,3.46
470,Kyle Kuzma,2017,27,80,81.5,84.25,107.5,34,141.5,27,134.5,223,9.4,8.5,9.5,,10.72,3.25
471,Tony Bradley,2017,28,81.25,82.75,89,112.5,27.5,140,24.5,137,249,12,9.5,9.5,,11.79,3.44
472,Derrick White,2017,29,75.25,76.5,79.5,101.5,36.5,138,35.5,137,190,6.2,8.25,8.5,,10.84,3.08
473,Frank Jackson,2017,31,74,75.5,79.5,98,42,140,35.5,133.5,202,6.7,8.25,9,,10.94,3.14
474,Davon Reed,2017,32,76.5,77.5,84,102,36,138,28.5,130.5,206,6.5,9.25,9.5,,11.37,3.34
475,Wesley Iwundu,2017,33,77.5,78.75,85,105.5,36,141.5,31.5,137,193,4,8.75,9.5,,11.25,3.36
476,Frank Mason,2017,34,71,72,75.25,94,41,135,34,128,189,4.3,8,9.25,,11.41,3.18
477,Ivan Rabb,2017,35,80.75,82,85.5,109,32.5,141.5,28.5,137.5,220,6.8,8.75,9,,12.68,3.35
478,Semi Ojeleye,2017,37,77.25,78.75,81.75,102,40.5,142.5,35,137,241,5.5,8.75,9.5,,10.58,3.16
479,Jordan Bell,2017,38,79,80.5,83.75,104.5,38,142.5,31.5,136,224,5.4,9.25,9.5,,10.63,3.21
480,Jawun Evans,2017,39,70.75,71.5,77.5,95,33.5,128.5,27.5,122.5,185,9.1,8,7.75,,11.34,3.21
481,Dwayne Bacon,2017,40,76.75,78.25,82,103.5,36.5,140,30,133.5,222,7.9,8.75,10,,11.7,3.22
482,Tyler Dorsey,2017,41,75,76.5,77.25,99.5,36,135.5,30.5,130,183,4.7,8.5,9.25,,10.55,3.16
483,Thomas Bryant,2017,42,81.5,82.75,90,112.5,33,145.5,25.5,138,248,9.4,9.5,10.25,,11.42,3.37
484,Damyean Dotson,2017,44,76.5,77.5,81,100,38,138,31.5,131.5,205,5.3,8.5,9.25,,11.18,3.13
485,Dillon Brooks,2017,45,77,78,78,100.5,37.5,138,31,131.5,220,7.5,8.25,9.25,,11.14,3.21
486,Ike Anigbogu,2017,47,80.5,81.75,90.25,110.5,32.5,143,29.5,140,252,5.4,9.5,10,,12.52,3.44
487,Sindarius Thornwell,2017,48,75.5,76.75,82,103,30.5,133.5,27,130,212,7.8,8.75,8.75,,11.48,3.36
488,De'Aaron Fox,2017,5,74,75.25,78.5,100,,,,,170,4.5,8.5,8.5,,,
489,Monte Morris,2017,51,73.25,74.5,76,96.5,33.5,130,28,124.5,175,6.9,8.25,8.75,,11,3.19
490,Edmond Sumner,2017,52,76,77.75,81,102.5,,,,,176,8.3,8.25,9,,,
491,Kadeem Allen,2017,53,73,74.25,81.25,99.5,35.5,135,33,132.5,192,6.4,8.5,8.75,,11.24,3.15
492,Alec Peters,2017,54,79.25,80.75,82.75,105,,,,,232,8.8,8.75,10,,,
493,Nigel Williams-Goss,2017,55,73.5,75,79.25,99,34.5,133.5,27.5,126.5,190,5.6,8.75,9.25,,10.42,3.19
494,Andrew Jones,2017,,75,76.25,78.5,99.5,35,134.5,27,126.5,185,4.9,8.5,9,,11.38,3.35
495,Cameron Oliver,2017,,79,80.25,85.25,106.5,39.5,146,28,134.5,239,7.7,9.5,10.25,,12.17,3.16
496,Chris Boucher,2017,,80,81.5,88,110.5,,,,,182,5.4,9.25,10.5,,,
497,Derrick Walton,2017,,71,72.75,74.5,95,32.5,127.5,26,121,189,5.8,8,8.5,,11.28,3.29
498,Devin Robinson,2017,,79,80.25,84.75,106,41.5,147.5,35.5,141.5,190,3.2,9.25,10.25,,12.85,3.23
499,Eric Mika,2017,,80.5,81.75,82,106.5,32,138.5,29,135.5,233,6.5,8.25,8.75,,11.71,3.38
500,Hamidou Diallo,2017,,75.75,77,83.25,101.5,44.5,146,34.5,136,197,5.2,8.5,9.5,,10.88,3.11
501,Isaiah Briscoe,2017,,73.25,74.75,81,99.5,33.5,133,28,127.5,222,11,9,9.25,,10.95,3.38
502,Isaiah Hicks,2017,,79.25,80.5,84.5,105,37,142,31.5,136.5,233,7.7,8.75,9.75,,12.31,3.36
503,Jamel Artis,2017,,77.5,78.75,82,105,31,136,23.5,128.5,213,11.9,9.25,9.75,,11.62,3.44
504,Johnathan Motley,2017,,79.75,80.75,88,108,,,,,238,,9,9.5,,,
505,Jonathan Jeanne,2017,,84.75,86,90.5,113.5,31.5,145,29,142.5,207,8.7,9.5,10,,12.61,3.36
506,Justin Jackson (Canada),2017,,77.75,79,87.25,107,31.5,138.5,26.5,133.5,219,8.1,9,9.5,,11.78,3.43
507,Kennedy Meeks,2017,,80.75,82.25,85,106,30.5,136.5,28,134,277,11.5,8.75,8.75,,12.91,3.5
508,Kobi Simmons,2017,,75.25,76.5,78,99,38.5,137.5,30.5,129.5,166,5,8.5,9.5,,11.15,3.18
509,Moritz Wagner,2017,,82,83.25,84,108,32.5,140.5,25.5,133.5,231,6.7,8.75,10.75,,12,3.35
510,Omer Yurtseven,2017,,82.5,83.75,85,108.5,31.5,140,26,134.5,248,7.6,9,10.5,,12.85,3.45
511,P.J. Dozier,2017,,77.25,78.75,83,101,39,140,34,135,201,6.1,8.5,9.5,,10.84,3.15
512,Peter Jok,2017,,76.25,77.75,80,102,31,133,26.5,128.5,202,11,8.25,9.5,,11.34,3.41
513,Rawle Alkins,2017,,74.5,75.75,80.75,99,40.5,139.5,31.5,130.5,223,11,8.75,10,,11.99,3.3
514,Sviatoslav Mykhailiuk,2017,,78.5,79.5,77,100,33,133,27,127,220,11.4,8,9.25,,12.4,3.53
515,Thomas Welsh,2017,,83.5,84.5,84,109.5,,,,,254,10.9,9,10.5,,,
516,V.J. Beachem,2017,,78.25,80,82.25,104.5,37,141.5,30,134.5,193,6.8,8.5,9,,11.18,3.26
